"nome";"classif";"ipa0710";"ipa0713";"ipa0716";"ipa1013";"ipa1016";"ipa1316";"d7";"d10";"d13";"d16";"d7.95";"d10.95";"d13.95";"d16.95";"n.d7";"n.d10";"n.d13";"n.d16";"n.0710";"n.0713";"n.0716";"n.1013";"n.1016";"n.1316"
"Casdec";"St";0,0975;0,12;0,145;0,1475;0,165;0,1875;16,55;16,84;17,275;17,8325;19,51;19,74;20,24;21,01;4;4;4;4;4;4;4;4;4;4
"Casobl";"St";0,327931034482759;0,31;0,294444444444444;0,29448275862069;0,285862068965517;0,266774193548387;15,3451724137931;16,328275862069;16,1570967741935;16,96;29,244;29,746;29,345;29,615;29;31;31;31;29;27;27;29;29;31
"Cassyl";"Si";0,211363636363636;0,207716535433071;0,224260869565217;0,202074074074074;0,223333333333333;0,22968992248062;13,8164393939394;14,45;14,6785271317829;15,3679069767442;22,4745;22,784;22,04;23,47;132;140;141;139;132;127;115;135;123;129
"Cedfis";"P";0,691764705882353;0,695625;0,761428571428571;0,656875;0,722857142857143;0,693571428571429;23,6470588235294;25,7211764705882;30,9185714285714;32,9978571428571;36,302;37,816;41,443;43,5675;17;17;16;14;17;16;14;16;14;14
"Celigu";"Liana";NA;NA;NA;NA;NA;0,04;NA;NA;13,56;13,69;NA;NA;13,56;13,69;NA;NA;1;1;NA;NA;NA;NA;NA;1
"Cindin";"P";0,205;0,22;0,218888888888889;0,211111111111111;0,213333333333333;0,216666666666667;28,885;29,5;30,0311111111111;30,6788888888889;38,71;38,96;39,47;40,01;11;10;9;9;10;9;9;9;9;9
"Citgon";"Si";0,098;0,082;0,096;0,066;0,098;0,305;13,768;14,068;13,38875;14,30375;16,206;16,566;16,7215;17,333;5;5;8;10;5;5;5;5;5;8
"Citpan";"St";0,19;0,255;0,265;0,325;0,305;0,316666666666667;25,225;25,795;22,1766666666667;23,12;36,3265;37,0675;36,802;37,611;2;2;3;3;2;2;2;2;2;3
"Clesca";"P";0,5325;0,5185;0,516842105263158;0,503;0,513684210526316;0,526666666666667;17,2065;18,8045;19,2566666666667;20,8419047619048;26,9905;29,774;33,04;35,17;20;20;22;22;20;20;19;20;19;21
"Couhex";"Si";0,355;0,42;0,3875;0,56;0,456;0,352;13,76;14,825;15,794;16,85;16,719;18,412;20,076;21,554;4;5;5;5;4;4;4;5;5;5
"Cryasc";"St";0,29;0,58;NA;0,69;NA;NA;14,5;15,36;NA;NA;18,496;19,869;NA;NA;2;2;1;NA;2;1;NA;1;NA;NA
"Cupver";"St";0,186;0,181333333333333;0,178;0,192222222222222;0,191111111111111;0,19;12,104;12,666;12,8711111111111;13,4405555555556;14,177;15,355;16,733;17,882;15;18;18;18;15;15;15;18;18;18
"Dahflo";"Si";0,375;0,46;0,44;0,545;0,475;0,4;14,93;16,055;17,685;18,89;16,451;17,9315;19,7055;21,284;2;2;2;2;2;2;2;2;2;2
"Dalbra";"Si";0,13;0,24;NA;0,36;NA;0,51;11,05;11,43;10,73;12,25;11,05;11,43;10,73;12,25;1;1;2;2;1;1;NA;1;NA;1
"Dasbra";"P";0;0;0;0;0;-0,01;18,535;18,535;25,81;25,78;24,8275;24,8275;25,81;25,78;4;4;1;1;4;1;1;1;1;1
"Diokak";"Exótica";0,09;0,05;0,06;0;0,05;0,1;14,9;15,18;15,18;15,47;14,9;15,18;15,18;15,47;1;1;1;1;1;1;1;1;1;1
"Durves";"P";0,09;0,01;0,08;-0,055;0,085;0,22;11,97;12,24;12,41;13,07;13,337;13,3965;13,355;14,402;4;4;2;2;4;2;2;2;2;2
"Eryfal";"Si";0,76;0,62;0,6;0,48;0,52;0,56;28,97;31,26;32,69;34,38;28,97;31,26;32,69;34,38;1;1;1;1;1;1;1;1;1;1
"Escbif";"P";0,015;0;NA;0;NA;NA;10,075;10,12;NA;NA;10,1155;10,12;NA;NA;2;3;1;NA;2;1;NA;1;NA;NA
"Eugchl";"C";0,065;0,0466666666666667;0,06;0,000000000000000000578805847290439;0,03;0,04;21,4325;21,6275;26,2;26,325;26,785;27,392;27,802;27,9585;4;4;3;2;4;3;2;3;2;2
"Euginv";"C";0,125;0,125;0,125;0,125;0,13;0,135;10,675;11,045;11,41;11,825;10,8325;11,2205;11,599;11,8655;2;2;2;2;2;2;2;2;2;2
"Euguni";"C";0,135;0,15;0,02;0,106666666666667;0,025;0,045;23,305;23,715;11,745;11,89;32,3005;33,0255;13,2075;13,366;2;3;3;2;2;2;1;3;2;2
"Gocpol";"P";0,205384615384615;0,217777777777778;0,218235294117647;0,187777777777778;0,195882352941176;0,190588235294118;20,9046153846154;21,5207692307692;22,7923529411765;23,3635294117647;30,4025;32,2525;34,378;35,262;26;26;18;17;26;18;17;18;17;17
